,first_tx_time,last_tx_time,account_age_days,avg_hours_between_txs,std_hours_between_txs,total_transactions,PCA1,PCA2,cluster,credit_score
0x29fe7d60ddf151e5b52e5fab4f1325da6b2bd958,-1.115835943295704,-0.5207401634411326,1.380474780814379,-0.35745843206489886,-0.2908525034888354,106.8741888523348,4.683018983716696,2.7285271968006026,3,100.0
0xaa6e8127831c9de45ae56bb1b0d4d4da6e5665bd,1.006651671729515,1.8559691536716787,2.553280397389504,-0.35577997325529337,-0.3013204594118439,56.80522270760672,4.757345756233858,-0.3097330584908298,0,59.08
0x00000000001876eb1444c986fd502e618c587430,-1.106094677968402,-0.52080218630389,1.355795265642279,-0.3565337107861357,-0.2782750726247675,48.8754998324541,2.0679074286050683,1.9037505784589237,0,51.43
0xa2b47e3d5c44877cca798226b7b8118f9bfb7a56,-1.0299948145048092,-0.5207941484145069,1.1643459341119187,-0.3563829277944771,-0.27419871479410957,40.12167180861356,1.5964533984564377,1.675349714508708,0,43.94
0xf859a1ad94bcf445a406b892ef0d3082f4174088,1.3443751540804154,1.8568740147935061,1.706029579634257,-0.35473058195675167,-0.3101965346857772,28.547572831485493,3.130967453032086,-1.1829849194414974,0,34.73
0x0034ea9808e620a0ef79261c51af20614b742b24,-1.1155535625834396,-0.5208506986717268,1.3794613866194085,-0.3549520356595593,-0.2635982306658818,25.800555669192438,1.0464543995571476,1.5978365698924637,0,32.13
0x52ea46506b9cc5ef470c5bf89f17dc28bb35d85c,-1.1157622436682946,-0.5250040072304728,1.3686047744760974,-0.35478499594312224,-0.2615214453139983,24.40873364029729,0.9771229674503134,1.578164596120735,0,30.95
0x681bd23f6128db3f9b8914595d1a63830a6212fa,1.3443903658821976,1.3751660403681893,0.38592593736495046,-0.35652620850968064,-0.3075288260267653,22.229433358211466,1.9255938235657488,-1.4021598373911743,1,28.33
0x3d1a8bf4b5db60f71386f1e714c1402ba9476242,-1.1082798377721463,1.8536393058767386,7.868177395023844,-0.32691738303546736,0.1862927099080435,12.431738812699573,5.204132287551557,2.2001920005208513,3,26.1
0x2e60cf74d81ac34eb21eeff58db4d385920ef419,-1.115792853538819,-0.5389573841553489,1.3304441639673,-0.35366674246428037,-0.24882521706452398,18.053967271526023,0.6708701463925167,1.489573667949438,2,25.6
